average_rushing_yards,ydstogo
0.947368421052632,0
2.74799465240642,1
3.77462887989204,2
4.08179012345679,3
4.25496688741722,4
4.82511210762332,5
4.48448275862069,6
5.33843537414966,7
4.40315315315315,8
4.93782383419689,9
4.68249186648994,10
3.05022831050228,11
3.95327102803738,12
4.76086956521739,13
7.21428571428571,14
4.87027027027027,15
5.56410256410256,16
6.0,17
5.94594594594595,18
5.20588235294118,19
6.12087912087912,20
8.63636363636364,21
6.11111111111111,22
10.2666666666667,23
8.28571428571429,24
7.45454545454545,25
7.22222222222222,26
5.0,27
12.0,28
5.16666666666667,29
3.0,30
2.0,31
7.66666666666667,33
8.0,34
9.0,36
